Status,Ticket ID,Priority,Support Channel,Issue Category,Agent Name,Created DateTime,SLA Resolve Due,SLA First Response Due,Resolution DateTime,First Response DateTime,Interaction Count,CSAT Score,Product Segment,Support Tier,Country,Resolution Hours,First Response Minutes,Single Touch Flag,Res SLA Breach,FR SLA Breach,Agent Joining Date,Experience Level,,
Closed,TKT-1054,High,Email,Purchasing and invoicing,Michele Whyatt,2023-01-07 05:28:54,2023-01-09 05:28:54,2023-01-07 06:28:54,2023-01-08 08:30:23,2023-01-07 06:09:50,2,5,Custom software development,Tier 2,Italy,27.02,41,0,0,0,2022-04-10,Junior,,
Closed,TKT-1055,High,Email,Bug report,Connor Danielovitch,2023-01-07 18:09:17,2023-01-09 18:09:17,2023-01-07 19:09:17,2023-01-09 13:07:23,2023-01-07 19:04:58,8,4,Ready to use Software,Tier 1,Republic of Ireland,42.97,56,0,0,0,2018-02-15,Senior,,
Resolved,TKT-1056,Low,Email,Bug report,Kristos Westoll,2023-01-07 00:13:20,2023-01-09 00:13:20,2023-01-07 01:13:20,2023-01-08 13:56:20,2023-01-07 00:19:14,8,,Custom software development,Tier 1,Germany,37.72,6,0,0,0,2021-10-18,Mid-Level,,
Closed,TKT-1057,Medium,Email,Feature request,Bernard Beckley,2023-01-07 09:55:14,2023-01-09 09:55:14,2023-01-07 10:55:14,2023-01-09 01:35:54,2023-01-07 10:35:51,7,5,Ready to use Software,Tier 1,Germany,39.68,41,0,0,0,2019-11-20,Senior,,
In Progress,TKT-1058,Medium,Email,Pricing and licensing,Bernard Beckley,2023-01-08 13:39:52,2023-01-10 13:39:52,2023-01-08 14:39:52,,2023-01-08 14:36:27,10,,Ready to use Software,Tier 1,France,,57,0,,0,2019-11-20,Senior,,
In Progress,TKT-1062,Low,Chat,Pricing and licensing,Nicola Wane,2023-01-08 19:35:27,2023-01-09 19:35:27,2023-01-08 19:37:27,,2023-01-08 19:36:35,60,,Custom software development,Tier 1,Republic of Ireland,,1,0,,0,2021-03-12,Mid-Level,,
Closed,TKT-1063,Low,Phone,Feature request,Kristos Westoll,2023-01-08 04:56:45,2023-01-10 04:56:45,2023-01-08 04:58:45,2023-01-08 08:51:45,2023-01-08 05:01:41,2,1,Ready to use Software,Tier 1,United Kingdom,3.92,5,0,0,1,2021-10-18,Mid-Level,,
Closed,TKT-1064,High,Chat,Other,Connor Danielovitch,2023-01-08 10:58:22,2023-01-09 10:58:22,2023-01-08 11:00:22,2023-01-08 17:42:49,2023-01-08 10:59:36,5,5,Ready to use Software,Tier 1,United Kingdom,6.74,1,0,0,0,2018-02-15,Senior,,
Closed,TKT-1065,Medium,Chat,Product setup,Sheela Cutten,2023-01-08 01:00:01,2023-01-09 01:00:01,2023-01-08 01:02:01,2023-01-08 04:07:24,2023-01-08 01:01:25,3,3,Ready to use Software,Tier 1,United Kingdom,3.12,1,0,0,0,2019-07-10,Senior,,
Resolved,TKT-1066,Medium,Chat,Product setup,Sheela Cutten,2023-01-09 14:16:59,2023-01-10 14:16:59,2023-01-09 14:18:59,2023-01-10 06:21:29,2023-01-09 14:17:22,6,,Ready to use Software,Tier 1,Spain,16.07,0,0,0,0,2019-07-10,Senior,,
Resolved,TKT-1067,Low,Email,Product setup,Sheela Cutten,2023-01-09 15:09:10,2023-01-11 15:09:10,2023-01-09 16:09:10,2023-01-11 01:02:32,2023-01-09 15:37:19,3,,Custom software development,Tier 1,Germany,33.89,28,0,0,0,2019-07-10,Senior,,
Closed,TKT-1068,Low,Email,Product setup,Kristos Westoll,2023-01-09 14:10:12,2023-01-11 14:10:12,2023-01-09 15:10:12,2023-01-10 19:32:17,2023-01-09 14:48:04,3,1,Ready to use Software,Tier 1,Greece,29.37,38,0,0,0,2021-10-18,Mid-Level,,
Closed,TKT-1069,Medium,Email,Pricing and licensing,Heather Urry,2023-01-09 17:25:30,2023-01-11 17:25:30,2023-01-09 18:25:30,2023-01-10 12:39:06,2023-01-09 17:57:42,2,5,Custom software development,Tier 2,Poland,19.23,32,0,0,0,2022-09-25,Junior,,
Resolved,TKT-1070,High,Email,Pricing and licensing,Adolpho Messingham,2023-01-09 18:55:21,2023-01-11 18:55:21,2023-01-09 19:55:21,2023-01-15 17:10:06,2023-01-09 19:32:12,1,,Custom software development,Tier 2,Germany,142.25,37,1,1,0,2020-05-15,Mid-Level,,
Closed,TKT-1071,Medium,Email,Training request,Michele Whyatt,2023-01-09 11:56:11,2023-01-11 11:56:11,2023-01-09 12:56:11,2023-01-10 16:04:07,2023-01-09 12:16:08,1,4,Training and Consulting Services,Tier 2,Republic of Ireland,28.13,20,1,0,0,2022-04-10,Junior,,
Closed,TKT-1072,High,Email,Feature request,Sheela Cutten,2023-01-09 20:14:31,2023-01-11 20:14:31,2023-01-09 21:14:31,2023-01-09 20:44:54,2023-01-09 20:29:39,1,5,Custom software development,Tier 1,Germany,0.51,15,1,0,0,2019-07-10,Senior,,
Closed,TKT-1073,Medium,Email,Pricing and licensing,Kristos Westoll,2023-01-09 09:10:39,2023-01-11 09:10:39,2023-01-09 10:10:39,2023-01-09 21:58:19,2023-01-09 09:17:01,7,3,Ready to use Software,Tier 1,Greece,12.79,6,0,0,0,2021-10-18,Mid-Level,,
Closed,TKT-1074,Low,Chat,Pricing and licensing,Nicola Wane,2023-01-09 06:50:00,2023-01-10 06:50:00,2023-01-09 06:52:00,2023-01-09 22:42:50,2023-01-09 06:54:54,3,4,Ready to use Software,Tier 1,Slovenia,15.88,5,0,0,1,2021-03-12,Mid-Level,,
Closed,TKT-1075,High,Email,Product setup,Kristos Westoll,2023-01-09 21:50:02,2023-01-11 21:50:02,2023-01-09 22:50:02,2023-01-11 09:54:58,2023-01-10 00:25:12,5,2,Ready to use Software,Tier 1,Czech Republic,36.08,155,0,0,1,2021-10-18,Mid-Level,,
Closed,TKT-1076,Low,Phone,Product setup,Bernard Beckley,2023-01-09 02:55:23,2023-01-11 02:55:23,2023-01-09 02:57:23,2023-01-10 22:20:44,2023-01-09 02:55:32,3,5,Ready to use Software,Tier 1,Germany,43.42,0,0,0,0,2019-11-20,Senior,,
Resolved,TKT-1077,Low,Email,Pricing and licensing,Sheela Cutten,2023-01-10 02:10:01,2023-01-12 02:10:01,2023-01-10 03:10:01,2023-01-11 21:39:27,2023-01-10 02:35:28,2,,Ready to use Software,Tier 1,Bulgaria,43.49,25,0,0,0,2019-07-10,Senior,,
Closed,TKT-1078,Low,Email,Pricing and licensing,Sheela Cutten,2023-01-10 13:46:53,2023-01-12 13:46:53,2023-01-10 14:46:53,2023-01-12 06:52:28,2023-01-10 13:50:12,7,2,Ready to use Software,Tier 1,Germany,41.09,3,0,0,0,2019-07-10,Senior,,
Resolved,TKT-1079,Low,Email,Product setup,Kristos Westoll,2023-01-10 09:42:12,2023-01-12 09:42:12,2023-01-10 10:42:12,2023-01-12 01:12:11,2023-01-10 10:30:03,2,,Other,Tier 1,Germany,39.5,48,0,0,0,2021-10-18,Mid-Level,,
Closed,TKT-1080,Low,Chat,Product setup,Kristos Westoll,2023-01-10 03:17:26,2023-01-11 03:17:26,2023-01-10 03:19:26,2023-01-10 13:22:16,2023-01-10 03:17:37,3,3,Training and Consulting Services,Tier 1,Spain,10.08,0,0,0,0,2021-10-18,Mid-Level,,
In Progress,TKT-1081,Medium,Chat,Product setup,Bernard Beckley,2023-01-10 04:29:04,2023-01-11 04:29:04,2023-01-10 04:31:04,,2023-01-10 04:29:36,3,,Custom software development,Tier 1,Austria,,1,0,,0,2019-11-20,Senior,,
Closed,TKT-1082,Low,Phone,Product setup,Connor Danielovitch,2023-01-10 20:59:34,2023-01-12 20:59:34,2023-01-10 21:01:34,2023-01-12 17:31:37,2023-01-10 21:00:38,5,5,Custom software development,Tier 1,Poland,44.53,1,0,0,0,2018-02-15,Senior,,
Resolved,TKT-1083,Low,Phone,Pricing and licensing,Sheela Cutten,2023-01-10 23:30:30,2023-01-12 23:30:30,2023-01-10 23:32:30,2023-01-12 00:58:24,2023-01-10 23:31:13,1,,Ready to use Software,Tier 1,Poland,25.46,1,1,0,0,2019-07-10,Senior,,
Resolved,TKT-1084,Medium,Email,Other,Connor Danielovitch,2023-01-10 10:14:54,2023-01-12 10:14:54,2023-01-10 11:14:54,2023-01-11 20:40:17,2023-01-10 11:06:45,7,,Other,Tier 1,United Kingdom,34.42,52,0,0,0,2018-02-15,Senior,,
Closed,TKT-1085,High,Chat,Product setup,Bernard Beckley,2023-01-10 07:30:22,2023-01-11 07:30:22,2023-01-10 07:32:22,2023-01-10 10:50:31,2023-01-10 07:31:48,4,5,Ready to use Software,Tier 1,Germany,3.34,1,0,0,0,2019-11-20,Senior,,
Resolved,TKT-1086,Medium,Email,Purchasing and invoicing,Nicola Wane,2023-01-10 17:16:11,2023-01-12 17:16:11,2023-01-10 18:16:11,2023-01-12 07:22:03,2023-01-10 17:44:05,10,,Ready to use Software,Tier 1,Germany,38.1,28,0,0,0,2021-03-12,Mid-Level,,
Closed,TKT-1087,Low,Email,Feature request,Adolpho Messingham,2023-01-11 19:17:35,2023-01-13 19:17:35,2023-01-11 20:17:35,2023-01-11 20:05:34,2023-01-11 19:18:54,8,5,Ready to use Software,Tier 2,Italy,0.8,1,0,0,0,2020-05-15,Mid-Level,,
Closed,TKT-1088,Low,Chat,Purchasing and invoicing,Nicola Wane,2023-01-11 11:24:14,2023-01-12 11:24:14,2023-01-11 11:26:14,2023-01-11 20:49:43,2023-01-11 11:25:37,8,4,Training and Consulting Services,Tier 1,Spain,9.42,1,0,0,0,2021-03-12,Mid-Level,,
Resolved,TKT-1090,Low,Chat,Feature request,Bernard Beckley,2023-01-11 00:49:24,2023-01-12 00:49:24,2023-01-11 00:51:24,2023-01-11 14:39:13,2023-01-11 00:50:16,4,,Ready to use Software,Tier 1,Italy,13.83,1,0,0,0,2019-11-20,Senior,,
Resolved,TKT-1092,Medium,Chat,Pricing and licensing,Bernard Beckley,2023-01-11 12:31:52,2023-01-12 12:31:52,2023-01-11 12:33:52,2023-01-12 12:24:21,2023-01-11 12:31:53,3,,Custom software development,Tier 1,Germany,23.87,0,0,0,0,2019-11-20,Senior,,
Resolved,TKT-1093,Low,Email,Product setup,Sheela Cutten,2023-01-11 13:45:35,2023-01-13 13:45:35,2023-01-11 14:45:35,2023-01-12 00:00:02,2023-01-11 14:12:45,8,,Custom software development,Tier 1,United Kingdom,10.24,27,0,0,0,2019-07-10,Senior,,
Resolved,TKT-1094,Low,Chat,Purchasing and invoicing,Connor Danielovitch,2023-01-11 04:04:47,2023-01-12 04:04:47,2023-01-11 04:06:47,2023-01-11 19:03:32,2023-01-11 04:05:35,6,,Ready to use Software,Tier 1,Czech Republic,14.98,1,0,0,0,2018-02-15,Senior,,
Closed,TKT-1095,Low,Chat,Feature request,Kristos Westoll,2023-01-11 13:40:47,2023-01-12 13:40:47,2023-01-11 13:42:47,2023-01-16 11:43:29,2023-01-11 13:43:27,3,1,Custom software development,Tier 1,Czech Republic,118.04,3,0,1,1,2021-10-18,Mid-Level,,
Closed,TKT-1097,Low,Email,Product setup,Bernard Beckley,2023-01-11 05:29:41,2023-01-13 05:29:41,2023-01-11 06:29:41,2023-01-11 17:24:42,2023-01-11 06:04:14,1,1,Ready to use Software,Tier 1,Austria,11.92,35,1,0,0,2019-11-20,Senior,,
In Progress,TKT-1098,Medium,Chat,Other,Bernard Beckley,2023-01-12 12:18:45,2023-01-13 12:18:45,2023-01-12 12:20:45,,2023-01-12 12:19:19,6,,Ready to use Software,Tier 1,Poland,,1,0,,0,2019-11-20,Senior,,
Resolved,TKT-1100,Medium,Email,Feature request,Heather Urry,2023-01-12 22:40:11,2023-01-14 22:40:11,2023-01-12 23:40:11,2023-01-13 13:58:23,2023-01-12 22:47:09,7,,Custom software development,Tier 2,Italy,15.3,7,0,0,0,2022-09-25,Junior,,
Resolved,TKT-1101,High,Chat,Bug report,Sheela Cutten,2023-01-13 15:00:14,2023-01-14 15:00:14,2023-01-13 15:02:14,2023-01-14 02:58:00,2023-01-13 15:00:36,60,,Ready to use Software,Tier 1,Austria,11.96,0,0,0,0,2019-07-10,Senior,,
Resolved,TKT-1102,Low,Chat,Other,Michele Whyatt,2023-01-13 15:16:58,2023-01-14 15:16:58,2023-01-13 15:18:58,2023-01-13 21:16:39,2023-01-13 15:17:31,5,,Ready to use Software,Tier 2,Germany,5.99,1,0,0,0,2022-04-10,Junior,,
Resolved,TKT-1103,Medium,Chat,Pricing and licensing,Sheela Cutten,2023-01-13 12:58:56,2023-01-14 12:58:56,2023-01-13 13:00:56,2023-01-13 13:19:55,2023-01-13 12:59:40,9,,Ready to use Software,Tier 1,Bulgaria,0.35,1,0,0,0,2019-07-10,Senior,,
Closed,TKT-1104,Low,Email,Feature request,Connor Danielovitch,2023-01-13 13:30:46,2023-01-15 13:30:46,2023-01-13 14:30:46,2023-01-15 09:50:57,2023-01-13 13:37:07,3,5,Other,Tier 1,Italy,44.34,6,0,0,0,2018-02-15,Senior,,
Closed,TKT-1105,Low,Chat,Feature request,Kristos Westoll,2023-01-13 06:47:37,2023-01-14 06:47:37,2023-01-13 06:49:37,2023-01-13 09:11:25,2023-01-13 06:49:36,7,3,Other,Tier 1,Italy,2.4,2,0,0,0,2021-10-18,Mid-Level,,
In Progress,TKT-1106,Low,Chat,Other,Connor Danielovitch,2023-01-13 23:18:45,2023-01-14 23:18:45,2023-01-13 23:20:45,,2023-01-13 23:20:44,3,,Custom software development,Tier 1,Germany,,2,0,,0,2018-02-15,Senior,,
Closed,TKT-1107,Low,Email,Bug report,Michele Whyatt,2023-01-13 11:19:44,2023-01-15 11:19:44,2023-01-13 12:19:44,2023-01-15 08:05:25,2023-01-13 11:34:08,1,5,Ready to use Software,Tier 2,Republic of Ireland,44.76,14,1,0,0,2022-04-10,Junior,,
Closed,TKT-1108,Low,Email,Purchasing and invoicing,Bernard Beckley,2023-01-13 02:10:18,2023-01-15 02:10:18,2023-01-13 03:10:18,2023-01-14 05:07:24,2023-01-13 03:28:05,4,4,Ready to use Software,Tier 1,Czech Republic,26.95,78,0,0,1,2019-11-20,Senior,,
Closed,TKT-1109,High,Chat,Product setup,Nicola Wane,2023-01-13 13:38:30,2023-01-14 13:38:30,2023-01-13 13:40:30,2023-01-13 15:29:47,2023-01-13 13:38:54,3,3,Training and Consulting Services,Tier 1,France,1.85,0,0,0,0,2021-03-12,Mid-Level,,
Closed,TKT-1110,High,Email,Product setup,Adolpho Messingham,2023-01-13 21:32:08,2023-01-15 21:32:08,2023-01-13 22:32:08,2023-01-15 14:06:02,2023-01-13 22:27:03,8,2,Ready to use Software,Tier 2,United Kingdom,40.57,55,0,0,0,2020-05-15,Mid-Level,,
In Progress,TKT-1111,Low,Chat,Product setup,Sheela Cutten,2023-01-13 02:49:26,2023-01-14 02:49:26,2023-01-13 02:51:26,,2023-01-13 02:52:28,9,,Ready to use Software,Tier 1,Spain,,3,0,,1,2019-07-10,Senior,,
In Progress,TKT-1112,Low,Phone,Pricing and licensing,Bernard Beckley,2023-01-13 02:22:58,2023-01-15 02:22:58,2023-01-13 02:24:58,,2023-01-13 02:23:44,2,,Ready to use Software,Tier 1,Republic of Ireland,,1,0,,0,2019-11-20,Senior,,
Resolved,TKT-1113,Low,Chat,Product setup,Bernard Beckley,2023-01-13 01:46:37,2023-01-14 01:46:37,2023-01-13 01:48:37,2023-01-17 07:29:52,2023-01-13 01:46:51,6,,Custom software development,Tier 1,Germany,101.72,0,0,1,0,2019-11-20,Senior,,
Closed,TKT-1114,Medium,Email,Product setup,Connor Danielovitch,2023-01-13 07:20:20,2023-01-15 07:20:20,2023-01-13 08:20:20,2023-01-15 06:43:44,2023-01-13 08:01:52,10,5,Other,Tier 1,Poland,47.39,42,0,0,0,2018-02-15,Senior,,
Resolved,TKT-1115,Low,Chat,Pricing and licensing,Sheela Cutten,2023-01-13 23:22:08,2023-01-14 23:22:08,2023-01-13 23:24:08,2023-01-14 05:14:59,2023-01-13 23:22:16,3,,Ready to use Software,Tier 1,Germany,5.88,0,0,0,0,2019-07-10,Senior,,
Resolved,TKT-1116,Medium,Phone,Pricing and licensing,Nicola Wane,2023-01-14 22:53:23,2023-01-16 22:53:23,2023-01-14 22:55:23,2023-01-16 03:46:01,2023-01-14 22:54:39,7,,Training and Consulting Services,Tier 1,United Kingdom,28.88,1,0,0,0,2021-03-12,Mid-Level,,
Closed,TKT-1126,Medium,Phone,Pricing and licensing,Kristos Westoll,2023-01-15 13:10:36,2023-01-17 13:10:36,2023-01-15 13:12:36,2023-01-19 09:22:44,2023-01-15 13:11:22,3,1,Custom software development,Tier 1,United Kingdom,92.2,1,0,1,0,2021-10-18,Mid-Level,,
Resolved,TKT-1127,High,Email,Product setup,Bernard Beckley,2023-01-15 06:08:54,2023-01-17 06:08:54,2023-01-15 07:08:54,2023-01-15 07:23:23,2023-01-15 06:47:30,2,,Other,Tier 1,Czech Republic,1.24,39,0,0,0,2019-11-20,Senior,,
Closed,TKT-1128,Low,Email,Other,Bernard Beckley,2023-01-15 10:11:34,2023-01-17 10:11:34,2023-01-15 11:11:34,2023-01-17 07:11:51,2023-01-15 11:03:48,4,3,Ready to use Software,Tier 1,Germany,45,52,0,0,0,2019-11-20,Senior,,
Closed,TKT-1129,High,Phone,Pricing and licensing,Kristos Westoll,2023-01-15 02:01:36,2023-01-17 02:01:36,2023-01-15 02:03:36,2023-01-16 14:49:45,2023-01-15 02:02:21,2,5,Custom software development,Tier 1,Slovenia,36.8,1,0,0,0,2021-10-18,Mid-Level,,
In Progress,TKT-1130,Medium,Chat,Product setup,Connor Danielovitch,2023-01-16 05:12:59,2023-01-17 05:12:59,2023-01-16 05:14:59,,2023-01-16 05:14:35,6,,Ready to use Software,Tier 1,Spain,,2,0,,0,2018-02-15,Senior,,
